backend,concurrency,repetition,worker,state,completion_ms,wall_ms,throughput_per_s,peak_tree_rss_mib,idle_rss_mib,prepare_ms,errors,expected_errors,correct,reported_version
lsp-custom,2,0,2,valid,25.568887,48.921027,40.88221614807882,9793.9453125,9776.33984375,11653.599304,0,0,True,1
lsp-custom,2,0,1,error,38.457528,99.404437,20.11982624075422,9805.328125,9776.33984375,11704.192335,1,1,True,2
lsp-custom,2,0,2,error,52.282018,99.404437,20.11982624075422,9805.328125,9776.33984375,11653.599304,1,1,True,2
lsp-custom,2,0,1,repair,37.115784,58.404445,34.24396893078943,9807.9609375,9776.33984375,11704.192335,0,0,True,3
lsp-custom,2,0,2,repair,48.696253,58.404445,34.24396893078943,9807.9609375,9776.33984375,11653.599304,0,0,True,3
lsp-custom,2,1,1,valid,17.368635,49.841336,40.12733527046707,9806.20703125,9776.33984375,11704.192335,0,0,True,4
lsp-custom,2,1,2,valid,20.830706,49.841336,40.12733527046707,9806.20703125,9776.33984375,11653.599304,0,0,True,4
lsp-custom,2,1,1,error,40.143764,51.652007,38.72066384564689,9810.421875,9776.33984375,11704.192335,1,1,True,5
lsp-custom,2,1,2,error,42.216411,51.652007,38.72066384564689,9810.421875,9776.33984375,11653.599304,1,1,True,5
lsp-custom,2,1,1,repair,54.159806,100.446025,19.91119110985228,9820.8046875,9776.33984375,11704.192335,0,0,True,6
lsp-custom,2,1,2,repair,44.52403,100.446025,19.91119110985228,9820.8046875,9776.33984375,11653.599304,0,0,True,6
lsp-custom,2,2,1,valid,20.222446,50.727991,39.42596504560963,9824.98046875,9776.33984375,11704.192335,0,0,True,7
lsp-custom,2,2,2,valid,20.455618,50.727991,39.42596504560963,9824.98046875,9776.33984375,11653.599304,0,0,True,7
lsp-custom,2,2,1,error,42.672542,103.114517,19.39591105295096,9831.0625,9776.33984375,11704.192335,1,1,True,8
lsp-custom,2,2,2,error,59.119275,103.114517,19.39591105295096,9831.0625,9776.33984375,11653.599304,1,1,True,8
lsp-custom,2,2,1,repair,45.653985,51.792272,38.615799669881255,9834.15625,9776.33984375,11704.192335,0,0,True,9
lsp-custom,2,2,2,repair,51.19842,51.792272,38.615799669881255,9834.15625,9776.33984375,11653.599304,0,0,True,9
lsp-custom,2,3,1,valid,17.335903,50.829754,39.34703284222072,9836.1875,9776.33984375,11704.192335,0,0,True,10
lsp-custom,2,3,2,valid,19.136896,50.829754,39.34703284222072,9836.1875,9776.33984375,11653.599304,0,0,True,10
lsp-custom,2,3,1,error,38.163714,100.703431,19.86029651760326,9844.26171875,9776.33984375,11704.192335,1,1,True,11
lsp-custom,2,3,2,error,53.946823,100.703431,19.86029651760326,9844.26171875,9776.33984375,11653.599304,1,1,True,11
lsp-custom,2,3,1,repair,43.393525,50.865882,39.31908621971797,9841.78125,9776.33984375,11704.192335,0,0,True,12
lsp-custom,2,3,2,repair,48.254088,50.865882,39.31908621971797,9841.78125,9776.33984375,11653.599304,0,0,True,12
lsp-custom,2,4,1,valid,16.444429,49.770393,40.18453300137694,9843.8515625,9776.33984375,11704.192335,0,0,True,13
lsp-custom,2,4,2,valid,20.7533,49.770393,40.18453300137694,9843.8515625,9776.33984375,11653.599304,0,0,True,13
lsp-custom,2,4,1,error,38.344906,108.37206,18.454941245926303,9850.05078125,9776.33984375,11704.192335,1,1,True,14
lsp-custom,2,4,2,error,69.307514,108.37206,18.454941245926303,9850.05078125,9776.33984375,11653.599304,1,1,True,14
lsp-custom,2,4,1,repair,40.121422,51.560866,38.78910800295713,9853.84375,9776.33984375,11704.192335,0,0,True,15
lsp-custom,2,4,2,repair,45.570598,51.560866,38.78910800295713,9853.84375,9776.33984375,11653.599304,0,0,True,15
lake-build,4,0,1,valid,6443.290134,6608.120333,0.6053158535907067,15133.84765625,0.0,4327.227446,0,0,True,1
lake-build,4,0,2,valid,6522.416229,6608.120333,0.6053158535907067,15133.84765625,0.0,4250.818625,0,0,True,1
lake-build,4,0,3,valid,6542.115018,6608.120333,0.6053158535907067,15133.84765625,0.0,4251.522718,0,0,True,1
lake-build,4,0,4,valid,6585.056759,6608.120333,0.6053158535907067,15133.84765625,0.0,4279.293217,0,0,True,1
lake-build,4,0,1,error,6649.122845,6663.701018,0.600267027166314,15164.7890625,0.0,4327.227446,1,1,True,2
lake-build,4,0,2,error,6268.015837,6663.701018,0.600267027166314,15164.7890625,0.0,4250.818625,1,1,True,2
lake-build,4,0,3,error,6452.009933,6663.701018,0.600267027166314,15164.7890625,0.0,4251.522718,1,1,True,2
lake-build,4,0,4,error,6650.165745,6663.701018,0.600267027166314,15164.7890625,0.0,4279.293217,1,1,True,2
lake-build,4,0,1,repair,6445.614875,6476.222903,0.617643966230234,15477.16015625,0.0,4327.227446,0,0,True,3
lake-build,4,0,2,repair,6459.906656,6476.222903,0.617643966230234,15477.16015625,0.0,4250.818625,0,0,True,3
lake-build,4,0,3,repair,6464.504853,6476.222903,0.617643966230234,15477.16015625,0.0,4251.522718,0,0,True,3
lake-build,4,0,4,repair,6412.298058,6476.222903,0.617643966230234,15477.16015625,0.0,4279.293217,0,0,True,3
lake-build,4,1,1,valid,3937.199859,4078.973456,0.9806388894529742,3822.55078125,0.0,4327.227446,0,0,True,4
lake-build,4,1,2,valid,3937.074742,4078.973456,0.9806388894529742,3822.55078125,0.0,4250.818625,0,0,True,4
lake-build,4,1,3,valid,4028.217822,4078.973456,0.9806388894529742,3822.55078125,0.0,4251.522718,0,0,True,4
lake-build,4,1,4,valid,3674.972183,4078.973456,0.9806388894529742,3822.55078125,0.0,4279.293217,0,0,True,4
lake-build,4,1,1,error,6635.822526,6714.093857,0.5957617044375494,15216.2421875,0.0,4327.227446,1,1,True,5
lake-build,4,1,2,error,6602.52682,6714.093857,0.5957617044375494,15216.2421875,0.0,4250.818625,1,1,True,5
lake-build,4,1,3,error,6350.391672,6714.093857,0.5957617044375494,15216.2421875,0.0,4251.522718,1,1,True,5
lake-build,4,1,4,error,6676.009642,6714.093857,0.5957617044375494,15216.2421875,0.0,4279.293217,1,1,True,5
lake-build,4,1,1,repair,6663.871183,6714.12564,0.5957588842498932,15458.93359375,0.0,4327.227446,0,0,True,6
